Date,open,high,low,close,volume,prevclose,pct_change_in_close,fed_rate,prev_fed_rate,pct_change_in_fed_rate,5_yr,7_yr,10_yr,20_yr,30_yr,prev_10_yr,pct_change_in_10_yr,label
2003-01-02,88.8500,91.3000,88.5400,91.07,44516300,88.23,3.2188597982545497,1.3,1.16,10.769230769230779,1.75,2.24,2.43,,,,,0
2003-01-03,90.9100,91.3800,90.5000,91.35,32222600,91.07,0.3074558032282872,1.12,1.3,-16.071428571428566,1.75,2.25,2.43,,,2.43,0.0,1
2003-01-06,91.2400,93.4900,91.1700,92.96,40984500,91.35,1.7624521072796928,1.22,1.12,8.1967213114754,1.79,2.27,2.46,,,2.43,1.2195121951219432,3
2003-01-07,92.9000,93.3700,92.2000,92.73,38640400,92.96,-0.2474182444061852,1.2,1.22,-1.6666666666666683,1.76,2.24,2.42,,,2.46,-1.6528925619834725,-3
2003-01-08,92.2000,92.4000,91.0500,91.39,38702200,92.73,-1.4450555375822316,1.29,1.2,6.976744186046517,1.68,2.14,2.29,,,2.42,-5.676855895196502,-1
2003-01-09,91.8200,93.1800,91.4100,92.81,34804900,91.39,1.553780501148924,1.29,1.29,0.0,1.82,2.23,2.41,,,2.29,4.979253112033199,2
2003-01-10,91.9500,93.6400,91.8000,93.06,37768900,92.81,0.26936752505117983,1.25,1.29,-3.200000000000003,1.8,2.22,2.41,,,2.41,0.0,1
2003-01-13,93.5400,93.8600,92.4400,93.03,31649900,93.06,-0.03223726627982069,1.26,1.25,0.7936507936507943,1.77,2.2,2.38,,,2.41,-1.2605042016806827,-1
2003-01-14,92.6900,93.8300,92.4100,93.33,30733000,93.03,0.3224766204450147,1.24,1.26,-1.6129032258064528,1.72,2.13,2.34,,,2.38,-1.7094017094017109,-1
2003-01-15,93.5400,93.5700,91.9100,92.4,33511800,93.33,-0.9964641594342577,1.3,1.24,4.615384615384619,1.69,2.1,2.3,,,2.34,-1.7391304347826104,-1
2003-01-16,92.5000,92.9300,91.4500,92.02,44812100,92.4,-0.4112554112554217,1.24,1.3,-4.8387096774193585,1.71,2.14,2.31,,,2.3,0.4329004329004429,-1
2003-01-17,90.9900,92.3000,90.1500,90.66,35618300,92.02,-1.4779395783525315,1.2,1.24,-3.3333333333333366,1.6,2.06,2.25,,,2.31,-2.6666666666666687,-3
2003-01-21,90.8700,90.9200,88.9500,89.25,36826200,90.66,-1.555261416280605,1.31,1.2,8.396946564885504,1.62,2.05,2.23,,,2.25,-0.896860986547086,-1
2003-01-22,88.7700,89.8000,88.0000,88.17,42286500,89.25,-1.2100840336134435,1.26,1.31,-3.9682539682539715,1.6,2.04,2.23,,,2.23,0.0,-1
2003-01-23,88.7500,89.3800,87.9500,88.71,55919800,88.17,0.6124532153793717,1.27,1.26,0.7874015748031503,1.55,2.0,2.2,,,2.23,-1.3636363636363547,2
