,Date,Press Release,symbol,open,high,low,close,volume,day_before_close,day_after_open,day_after_close,two_day_after_close,three_day_after_close,fed_announce_avg,fed_announce_pct_change,two_day_before_close,three_day_before_close,four_day_before_close,prev_close_avg,pct_change_sp500,fed_rate,prev_fed_rate,pct_change_in_fed_rate,10_yr,one_day_before_10,two_day_before_10,three_day_before_10,prev_days_avg_treas,pct_change_in_treas,label_market,label_FED
13,1994-09-27,0,SP500,460.82,462.75,459.83,462.05,290330000,461.8,581.41,581.04,686.19,1283.31,538.885,58.00819755164379,385.9,300.97,345.1,343.99,25.511043741879604,4.29,4.61,6.941431670282001,7.61,5.3,7.49,8.91,7.233333333333333,4.949627682873416,1,1
14,1994-11-15,0,SP500,466.04,468.51,462.95,465.03,336450000,463.75,589.29,593.96,737.62,1394.39,552.6149999999999,60.36869168597022,382.62,317.02,340.54,346.7266666666667,25.234141958670257,5.59,5.53,-1.0849909584086728,7.92,5.69,7.33,8.37,7.13,9.974747474747476,1,-1
15,1994-12-20,0,SP500,458.08,458.45,456.37,457.1,326530000,465.85,611.93,605.94,748.87,1418.09,557.9616666666667,60.654001744130014,387.04,330.12,342.84,353.3333333333333,24.15298200422168,5.43,6.56,17.22560975609756,7.81,5.83,6.97,8.05,6.95,11.011523687580018,1,1
16,1995-02-01,0,SP500,470.42,472.75,469.29,470.4,395310000,479.62,636.02,638.46,1273.0,1409.28,661.32,53.07391008174387,442.52,343.05,328.79,371.4533333333333,22.552576345162144,5.25,5.98,12.207357859531779,7.66,5.77,6.38,7.91,6.6866666666666665,12.706701479547435,1,1
17,1995-03-28,0,SP500,503.19,503.91,501.83,503.9,320360000,460.0,648.91,648.94,773.88,1507.73,589.8033333333334,60.88136912223453,375.22,342.0,291.59,336.27,26.897826086956528,6.1,6.07,-0.49423393739702404,7.16,6.63,8.05,8.51,7.7299999999999995,-7.960893854748595,0,-1
18,1995-05-23,0,SP500,523.65,528.59,523.65,528.59,362690000,453.2,678.42,676.0,847.03,1373.86,617.815,55.0307163757588,374.96,359.29,318.32,350.8566666666666,22.58237716975582,5.96,6.16,3.2467532467532494,6.57,7.19,8.1,8.61,7.966666666666666,-21.258244545915762,0,1
19,1995-07-06,0,SP500,547.26,553.99,546.59,553.99,420500000,446.13,1146.42,1157.33,1388.12,1456.67,873.2083333333334,40.054485001178485,441.43,413.84,358.42,404.56333333333333,9.317164653053295,6.06,5.77,-5.025996533795495,6.05,7.32,5.8,6.9,6.673333333333335,-10.303030303030328,0,-1
20,1995-08-22,0,SP500,558.11,559.52,555.87,559.52,290890000,462.32,665.07,670.68,923.54,1498.13,639.8733333333333,57.28853081285781,391.33,316.55,341.19,349.69,24.361913825921437,5.68,5.68,0.0,6.57,7.31,7.78,8.91,8.0,-21.76560121765601,0,0
21,1995-09-26,0,SP500,581.81,584.66,580.65,581.41,363630000,460.82,685.83,685.86,945.22,1427.21,656.8249999999999,53.97839140701088,386.49,305.06,344.33,345.2933333333333,25.069803104610628,5.73,6.45,11.162790697674414,6.28,7.57,7.56,9.0,8.043333333333333,-28.078556263269626,0,1
22,1995-11-15,0,SP500,589.29,593.97,588.36,593.96,376100000,465.03,735.88,737.62,1394.39,1389.81,752.695,45.84187766673142,463.75,382.62,317.02,387.7966666666666,16.608247496577285,5.94,5.84,-1.712328767123297,6.0,7.92,5.69,7.33,6.9799999999999995,-16.333333333333325,0,-1
23,1995-12-19,0,SP500,606.81,611.94,605.05,611.93,478280000,457.91,731.54,745.76,946.78,1305.6,683.4549999999999,47.65203737745098,382.52,330.2,342.46,351.7266666666667,23.18869064517773,5.63,6.74,16.46884272997033,5.81,7.81,7.11,8.0,7.640000000000001,-31.497418244406216,0,1
24,1996-01-31,0,SP500,630.15,636.18,629.48,636.02,472210000,470.42,784.17,786.16,1394.46,1366.01,783.5633333333332,42.63853607709071,481.61,408.78,343.93,411.44,12.537732239275545,5.71,5.27,-8.349146110056935,5.6,7.6,5.7,7.31,6.87,-22.67857142857144,0,-1
25,1996-03-26,0,SP500,650.04,654.31,648.15,652.97,400090000,447.78,789.07,790.5,1100.8,1282.8,738.5266666666666,42.42854173162873,407.86,376.3,337.63,373.93,16.492473982759385,5.23,5.29,1.1342155009451722,6.25,6.09,7.57,8.13,7.263333333333333,-16.213333333333324,0,1
26,1996-05-21,0,SP500,673.15,675.56,672.26,672.76,409610000,445.84,841.66,839.35,1114.64,1330.29,764.5666666666666,42.52631631699354,412.6,375.35,358.0,381.98333333333335,14.322776481846992,5.23,5.41,3.3271719038816956,6.65,6.16,7.39,8.06,7.203333333333333,-8.320802005012522,0,1
27,1996-07-02,0,SP500,675.88,675.88,672.55,673.61,388000000,445.84,891.03,904.03,1146.42,1391.22,789.4683333333332,43.25352328651592,411.77,377.47,359.54,382.9266666666667,14.111190860697404,5.29,5.38,1.672862453531596,6.8,5.76,6.93,8.27,6.986666666666667,-2.7450980392156974,0,1
28,1996-08-20,0,SP500,666.58,666.99,665.15,665.69,334960000,456.16,926.01,939.35,1091.6,1336.61,790.8983333333332,40.8280400914752,418.26,379.43,328.51,375.40000000000003,17.704314275692738,5.08,5.09,0.1964636542239644,6.59,5.61,6.46,7.81,6.626666666666666,-0.5563985837126887,0,1
29,1996-09-24,0,SP500,686.48,690.88,683.54,685.61,460150000,457.63,951.93,944.48,1042.72,1277.36,794.8083333333334,37.777264566501735,418.47,387.71,304.59,370.25666666666666,19.0925711455397,5.28,5.56,5.035971223021572,6.77,5.42,6.48,7.56,6.486666666666667,4.185130477597228,1,1
30,1996-11-13,0,SP500,729.56,732.11,728.03,731.13,429840000,592.3,905.96,916.66,1125.72,1351.26,833.555,38.31275994257212,422.43,397.41,317.67,379.17,35.98345433057572,5.21,5.34,2.4344569288389493,6.2,5.98,6.82,7.41,6.736666666666667,-8.65591397849463,0,1
31,1996-12-17,0,SP500,720.98,727.67,716.69,726.04,519840000,466.38,968.04,965.54,1179.98,1421.03,837.8266666666667,41.04088818204635,435.43,382.74,326.02,381.3966666666667,18.221907743328035,5.38,5.6,3.9285714285714244,6.42,5.81,6.77,7.18,6.586666666666666,-2.5960539979231476,0,1
32,1997-02-04,0,SP500,786.73,789.28,783.68,789.26,506530000,469.81,1006.0,1006.9,1248.49,1424.37,884.5316666666668,37.900147667623806,449.56,413.85,348.34,403.9166666666667,14.025528050346592,5.18,5.17,-0.1934235976789127,6.45,5.94,6.39,7.29,6.54,-1.3953488372093001,0,-1
33,1997-03-25,0,SP500,790.89,798.11,788.39,789.07,487520000,650.04,1105.65,1101.93,1289.99,1131.87,954.5949999999999,15.662134344050111,460.58,450.88,407.52,439.66,32.364162205402735,5.57,5.61,0.7130124777183606,6.75,6.26,6.61,5.98,6.283333333333334,6.913580246913568,0,1
34,1997-05-20,0,SP500,833.27,841.96,826.41,841.66,450850000,673.15,1109.52,1119.06,1338.83,1091.88,985.915,9.704821042605428,454.92,450.59,415.39,440.3,34.591101537547345,5.51,5.56,0.8992805755395652,6.7,6.62,7.02,6.09,6.576666666666667,1.8407960199004936,0,1
35,1997-07-01,0,SP500,885.14,893.88,884.54,891.03,544190000,675.88,1133.84,1148.56,1380.96,968.65,1019.2350000000001,-5.222216486863176,446.2,449.02,412.88,436.0333333333333,35.48657552622754,6.24,5.54,-12.635379061371843,6.45,6.74,7.34,5.8,6.626666666666666,-2.7390180878552846,-1,-1
36,1997-08-19,0,SP500,912.49,926.01,912.49,926.01,545630000,666.58,1101.2,1098.06,1323.59,950.7,1004.6550000000001,-5.675291890186183,463.68,456.43,418.19,446.09999999999997,33.07629991898948,5.47,5.8,5.6896551724137945,6.21,6.59,7.27,5.64,6.5,-4.669887278582931,-1,1
37,1997-09-30,0,SP500,953.34,955.17,947.28,947.28,587500000,687.33,1049.02,1017.01,1282.71,815.28,989.4483333333333,-21.363008209858368,462.71,458.93,417.8,446.48,35.04139205330773,5.81,5.65,-2.8318584070796327,6.12,6.72,7.62,5.4,6.580000000000001,-7.516339869281059,-1,-1
38,1997-11-12,0,SP500,923.78,923.88,905.34,905.96,585340000,729.56,1120.97,1117.69,1396.06,1118.33,1032.3366666666668,7.68944169729267,465.39,422.87,396.74,428.3333333333333,41.288813348685046,5.53,5.5,-0.54545454545455,5.89,6.19,5.66,6.79,6.213333333333334,-5.489530277306183,-1,-1
39,1997-12-16,0,SP500,963.39,973.0,963.39,968.04,623320000,720.98,1162.83,1161.94,1418.78,910.4,1065.9933333333333,-17.090656121851204,458.8,463.34,431.52,451.21999999999997,37.415739687647374,5.56,5.95,6.554621848739506,5.77,6.39,7.81,5.84,6.68,-15.771230502599657,-1,1
40,1998-02-03,0,SP500,1001.27,1006.13,996.9,1006.0,692120000,786.73,1261.99,1272.07,1424.97,860.32,1125.5049999999999,-30.82399572252183,478.65,480.71,447.2,468.8533333333333,40.404797918811624,5.47,5.41,-1.109057301293893,5.56,6.47,7.49,5.81,6.59,-18.525179856115116,-1,-1
41,1998-03-31,0,SP500,1093.55,1110.13,1093.55,1101.75,674930000,757.12,1300.75,1286.37,1498.58,848.18,1173.02,-38.29847438043812,500.71,445.77,451.67,466.05,38.44436813186813,5.88,5.72,-2.7972027972028,5.67,6.92,7.2,6.77,6.963333333333334,-22.810111699000597,-1,-1
42,1998-05-19,0,SP500,1105.82,1113.5,1105.82,1109.52,566020000,833.27,1333.32,1344.23,1406.95,920.77,1188.8516666666667,-29.114943652233098,519.19,456.48,447.57,474.41333333333336,43.066073021549634,5.35,5.52,3.0797101449275353,5.65,6.71,6.61,6.96,6.760000000000001,-19.64601769911505,-1,1
43,1998-06-30,0,SP500,1138.49,1140.8,1131.98,1133.84,757200000,885.14,1351.45,1372.71,1454.6,974.5,1222.705,-25.469984607491014,544.75,444.27,450.53,479.84999999999997,45.7882368890797,7.06,6.35,-11.181102362204724,5.44,6.51,6.21,7.34,6.6866666666666665,-22.916666666666654,-1,-1
44,1998-08-18,0,SP500,1083.67,1101.72,1083.67,1101.2,690600000,912.49,1344.16,1332.84,1491.72,999.74,1211.0133333333335,-21.132827868579184,559.21,463.17,456.04,492.8066666666667,45.9931980989746,5.54,5.48,-1.0948905109488978,5.41,6.21,6.57,7.28,6.686666666666667,-23.598274799753554,-1,-1
45,1998-09-29,0,SP500,1048.69,1056.31,1039.88,1049.02,760100000,953.34,1282.2,1268.37,1436.51,1006.58,1173.0216666666668,-16.535363971732668,584.41,462.24,460.11,502.2533333333334,47.31645233250117,5.44,6.14,11.400651465798035,4.59,6.1,6.17,7.64,6.636666666666667,-44.589687726942635,-1,1
46,1998-11-17,0,SP500,1135.87,1151.71,1129.67,1139.32,705200000,946.2,1420.07,1410.71,1367.72,1043.63,1236.6483333333333,-18.494900810951503,600.07,463.57,464.81,509.48333333333335,46.15479461706475,4.61,4.07,-13.267813267813267,4.87,5.85,5.92,8.03,6.599999999999999,-35.52361396303898,-1,-1
47,1998-12-22,0,SP500,1202.84,1209.22,1192.72,1203.57,680500000,953.7,1433.43,1436.13,1305.95,1092.94,1255.9366666666667,-14.913596964761714,611.95,459.68,467.32,512.9833333333333,46.21124742232009,4.63,4.66,0.64377682403434,4.7,5.72,5.71,7.84,6.423333333333333,-36.66666666666665,-1,1
48,1999-02-02,0,SP500,1273.0,1273.49,1247.56,1261.99,845500000,1001.27,1409.28,1409.12,1349.47,1135.26,1284.0216666666668,-13.103753031610976,635.84,472.79,482.0,530.21,47.04625126089865,4.56,4.65,1.935483870967758,4.79,5.57,5.66,7.68,6.303333333333334,-31.593597773138487,-1,1
49,1999-03-30,0,SP500,1310.17,1310.17,1295.47,1300.75,729000000,1093.6,1508.52,1487.92,1160.33,1127.0,1310.215,-16.256876663708955,502.22,445.55,451.97,466.58,57.33540599853695,4.77,4.98,4.216867469879535,5.21,5.72,7.18,6.78,6.56,-25.911708253358917,-1,1
50,1999-05-18,0,SP500,1339.49,1345.44,1323.46,1333.32,753400000,1105.82,1447.8,1437.21,1291.96,1091.49,1325.9333333333334,-21.47920121424231,519.58,453.69,440.32,471.19666666666666,57.3893882669271,4.64,4.48,-3.5714285714285547,5.68,5.64,6.61,7.03,6.426666666666667,-13.145539906103293,-1,-1
51,1999-06-30,0,SP500,1351.45,1372.93,1338.78,1372.71,1117000000,1133.84,1442.39,1454.6,974.5,1140.84,1288.2483333333332,-12.921034793076444,885.14,544.75,444.27,624.7199999999999,44.902278981161366,5.12,5.76,11.111111111111107,5.81,5.44,6.51,6.21,6.053333333333334,-4.188181296615044,-1,1
52,1999-08-24,0,SP500,1360.22,1373.32,1353.63,1363.5,732700000,1088.14,1505.97,1508.31,1184.93,1096.19,1335.1783333333333,-21.801725369993637,557.46,469.03,459.77,495.42,54.47093204918485,5.08,5.2,2.3076923076923097,5.85,5.3,6.5,7.22,6.34,-8.37606837606838,-1,1
53,1999-10-05,0,SP500,1304.6,1316.41,1286.44,1301.35,965700000,988.56,1434.32,1436.28,1071.38,1134.48,1256.0816666666667,-10.718714007004678,582.63,453.52,461.2,499.11666666666673,49.5107361549459,5.16,5.21,0.9596928982725494,6.02,4.16,6.06,7.77,5.996666666666666,0.3875968992248078,0,1
54,1999-11-16,0,SP500,1394.39,1420.36,1394.39,1420.07,942200000,1135.87,1389.81,1372.32,1138.65,1175.43,1308.5183333333332,-11.322523105019707,597.34,465.62,466.74,509.90000000000003,55.10929947969396,5.4,5.41,0.1848428835489794,5.97,4.85,5.93,7.97,6.25,-4.690117252931328,-1,1
55,1999-12-21,0,SP500,1418.09,1436.47,1414.8,1433.43,963500000,1202.84,1264.74,1274.86,1144.89,1205.45,1289.8083333333332,-6.9980781727432175,610.49,459.61,465.3,511.79999999999995,57.45070000997639,5.52,5.45,-1.2844036697247594,6.38,4.64,5.77,7.8,6.07,4.858934169278991,0,-1
56,2000-02-02,0,SP500,1409.28,1420.61,1403.49,1409.12,1038600000,1261.99,1373.47,1349.47,1135.26,1193.19,1323.0983333333334,-10.887480898543677,1001.27,635.84,472.79,703.3000000000001,44.270556818992226,5.64,5.71,1.2259194395796897,6.6,4.79,5.57,5.66,5.34,19.09090909090909,0,1
57,2000-03-21,0,SP500,1456.63,1493.92,1446.06,1493.87,1065900000,784.1,1142.62,1122.14,1153.59,895.79,1192.1583333333333,-33.08457711442786,649.19,495.07,468.54,537.6,31.437316668792242,5.81,6.02,3.488372093023256,6.13,6.74,6.28,7.16,6.726666666666667,-9.733550842849375,-1,1
58,2000-05-16,0,SP500,1452.36,1470.4,1450.76,1466.04,955500000,829.75,1249.44,1284.99,1098.23,944.3,1230.135,-30.269511807688236,664.85,528.19,444.49,545.8433333333334,34.21592849251782,6.13,6.25,1.9200000000000015,6.43,6.7,6.7,6.57,6.656666666666666,-3.5251425609123888,-1,1
59,2000-06-28,0,SP500,1450.55,1467.63,1450.55,1454.82,1095100000,1331.35,1211.07,1226.2,989.82,1133.35,1277.3016666666665,-12.701430861310858,670.63,544.73,446.07,553.8100000000001,58.402373530626804,6.5,6.76,3.8461538461538427,6.11,5.96,6.73,6.1,6.263333333333333,-2.5095471903982394,-1,1
60,2000-08-22,0,SP500,1499.48,1508.45,1497.42,1498.13,818800000,923.54,1157.26,1165.31,962.7,993.06,1201.07,-20.946367792479812,670.68,559.52,462.32,564.1733333333333,38.91186810172453,6.42,6.5,1.2307692307692317,5.78,6.38,6.62,6.57,6.523333333333333,-12.860438292964242,-1,1
61,2000-10-03,0,SP500,1436.23,1454.82,1425.28,1426.46,1098100000,965.03,1051.33,1072.28,818.95,1029.85,1128.3799999999999,-9.567412730009222,692.78,582.34,461.74,578.9533333333333,40.006701000659746,6.46,6.51,0.7680491551459266,5.87,6.01,6.61,6.13,6.25,-6.473594548551957,-1,1
62,2000-11-15,0,SP500,1382.95,1395.96,1374.75,1389.81,1066800000,1394.39,1141.21,1142.24,909.83,1183.81,1226.7383333333332,-3.626285749683926,737.62,593.96,465.03,598.87,57.05147053550298,6.61,6.55,-0.9160305343511527,5.72,5.94,6.19,6.0,6.043333333333334,-5.652680652680667,-1,-1
63,2000-12-19,0,SP500,1322.96,1346.44,1305.2,1305.6,1324900000,946.78,1142.92,1149.56,884.25,1088.66,1125.345,-3.369738945125195,745.76,611.93,457.91,605.2,36.07807516001605,6.47,6.47,0.0,5.19,5.72,6.36,5.81,5.963333333333334,-14.90044958253051,-1,0
